idx,직무(업무명),업무세부내역,Analysis_name,Platfom,Pipeline Name,Pipeline Version,Group,Step,tools,version,CPUs,MEM(G),TIME(hr),nTask(병렬),SIZE(MB),USER,비고
1,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,consolidate,consolidate_stats,python,3.9,1.0,1.0,0.1,1.0,1.0,박윤기,"WGS, 40x 기준"
2,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,coverage_dropouts,python,3.9,2.0,4.0,4.0,1.0,1.0,,
3,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,hiphase,hiphase,1.5.0-8af3f1e,16.0,96.0,4.0,1.0,59463.0,,
4,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,bam_stats,samtools,1.20,2.0,8.0,2.0,1.0,104.0,,
5,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,cpg_pileup,aligned_bam_to_cpg_scores,3.0.0,16.0,32.0,1.0,1.0,2917.0,,
6,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,pbstarphase_diplotype,pbstarphase,1.4.1-c0c8c26,2.0,16.0,1.0,1.0,1.0,,
7,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,sv_stats,bcftools,1.20,2.0,4.0,1.0,1.0,1.0,,
8,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,bcftools_stats_roh_small_variants,bcftools,1.20,2.0,4.0,1.0,1.0,35.0,,
9,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,filter_preprocessed_vcf,"bcftools
mosdepth","1.20
0.3.9",4.0,8.0,0.2,1.0,1.0,,
10,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,methbat,methbat,0.15.0,2.0,4.0,0.2,1.0,5.0,,
11,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,pharmcat_preprocess,python,3.9,2.0,4.0,0.2,1.0,1.0,,
12,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,downstream,run_pharmcat,pharmcat,2.15.4,2.0,4.0,0.2,1.0,2.0,,
13,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,tertiary,slivar_small_variant,slivar,0.3.1,8.0,16.0,0.2,1.0,19.0,,
14,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,tertiary,svpack_filter_annotated,svpack,54b54db,2.0,16.0,0.2,1.0,1.0,,
15,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,tertiary,slivar_svpack_tsv,slivar,0.3.1,2.0,4.0,0.2,1.0,7.0,,
16,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,tertiary,write_phrank,python,3.9,1.0,2.0,0.2,1.0,1.0,,
17,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,upstream,pbmm2_align_wgs,pbmm2,1.17.0,32.0,128.0,5.0,14.0,61094.0,,
18,Whole Genome Sequencing,Human 기본 분석,PacBio Revio Human Whole Genome Sequencing,PacBio Revio,Hifi-human-WGS-WDL,3.1.0,upstream,deepvariant_make_examples,deepvariant,1.9.0,8.0,32.0,4.0,8.0,16085.0,,
