idx,직무(업무명),업무세부내역,Analysis_name,Platfom,Pipeline Name,Pipeline Version,Group,Step,tools,version,CPUs,MEM(G),TIME(hr),nTask(병렬),SIZE(MB),USER,비고
1,Large Genome Analysis,De novo Assembly,assembly (genome under 1GB),PacBio Revio,inhouse,2.0.0,ASSEMBLY,HIFIASM_ASSEMBLE,hifiasm,0.25.0,64,48,4,1,3000,백성용,
2,,,,,,,ASSEMBLY,GFA_TO_FASTA,gfatools,0.5.5,1,8,0.2,1,1000,백성용,
3,,,,,,,PURGE_DUPS,RAWDATA_MAPPING,minimap2,2.28,64,32,1,1,2000,백성용,
4,,,,,,,PURGE_DUPS,MAKE_STATS,pbcstat / calcuts,1.2.6,4,8,0.2,1,1,백성용,
5,,,,,,,PURGE_DUPS,PURGE_DUPS_STEP1,purge_dups,1.2.6,64,48,0.3,1,2000,백성용,
6,,,,,,,PURGE_DUPS,PURGE_DUPS_STEP2,purge_dups,1.2.6,4,8,0.2,1,1000,백성용,
7,,,,,,,PURGE_DUPS,PURGE_DUPS_STEP3 (get_seqs),get_seqs,1.2.6,4,4,0.1,1,1000,백성용,
8,,,,,,,FCS_GX,FCS_GX_SCREEN,fcs-gx,0.5.5,32,510,3,1,5,백성용,
9,,,,,,,FCS_GX,FCS_GX_CLEAN,fcs-gx,0.5.5,4,16,0.2,1,1000,백성용,
10,,,,,,,FCS_GX,FCS_GX_REMAP_READS,minimap2,2.28,64,32,1,1,2000,백성용,
11,,,,,,,FCS_GX,FCS_GX_MAKE_STATS,pbcstat / calcuts,1.2.6,4,8,0.2,1,1,백성용,
12,,,,,,,FCS_GX,FCS_GX_PURGE_STEP1,purge_dups,1.2.6,64,48,0.3,1,2000,백성용,
13,,,,,,,FCS_GX,FCS_GX_PURGE_STEP2,purge_dups,1.2.6,4,8,0.2,1,1000,백성용,
14,,,,,,,FCS_GX,FCS_GX_PURGE_STEP3 (get_seqs),get_seqs,1.2.6,4,4,0.1,1,1000,백성용,
15,,,,,,,PAQMAN,PAQMAN_EVAL (7-metric A/B),paqman,inhouse,16,48,2,1,1000,백성용,
